"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2927SEW093","BH PR 6.10","Meath Co Co","Borehole",9,NA,"Bedrock Not Met",1994-02-10,306130,276550,"to 10m","MELL",NA,"Louth",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Geotech/Hilliard: Shell/auger/Rotary",NA,NA
"2","2927SEW094","BH PR 6.12","Meath Co Co","Borehole",9,NA,"Bedrock Not Met",1994-03-03,306200,276540,"to 10m","MELL",NA,"Louth",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Geotech/Hilliard: Shell/auger/Rotary",NA,NA
"3","2929NEW039","NERDO L8/11c",NA,"Borehole",75,75,"Bedrock Met",NA,316720,306770,"to 10m","RIVERSTOWN",NA,"Louth",8,NA,"Moderate",NA,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2929NWW243","NERDO L12 5b",NA,"Borehole",5,NA,"Bedrock Not Met",NA,302630,302160,"to 10m","DUNMAHON",NA,"Louth",12,NA,"Poor",NA,17.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NERDO REPORT 1981",NA
"5","2929NWW268","BH 300","Dundalk By Pass","Borehole",16.5,2.8,"Bedrock Met",1999-02-18,303280,304260,"to 10m","CARNANBREGAGH",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2929NWW269","BH 310","Dundalk By Pass","Borehole",10,4.1,"Bedrock Met",1999-03-04,302700,305380,"to 10m","LITTLEMILL",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2929NWW270","BH 311","Dundalk By Pass","Borehole",4,2.5,"Bedrock Met",1999-12-15,302670,305390,"to 10m","LITTLEMILL",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.55,NA,NA,NA,NA,NA,NA
"8","2929NWW271","BH 318","Dundalk By Pass","Borehole",12.2,4.5,"Bedrock Met",1999-02-09,302290,306310,"to 10m","DONAGHMORE",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2929NWW272","BH 325","Dundalk By Pass","Borehole",20.9,4.6,"Bedrock Not Met",1999-02-16,301950,307560,"to 10m","ACARREAGH",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2929NWW273","BH 331","Dundalk By Pass","Borehole",14.2,2.8,"Bedrock Met",1999-03-10,302060,308830,"to 10m","NEWTOWNBALREGAN",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,2.15,NA,NA,NA,NA,NA,NA,NA
"11","2929NWW274","BH 339","Dundalk By Pass","Borehole",15,7.7,"Bedrock Met",1999-03-11,302380,309420,"to 10m","NEWTOWNBALREGAN",NA,"Louth",7,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
