"","GSIName","OrigName","SrcName","Type","Depth_m","Dpth.Rck_m","DTRConfid","DrillDate","Easting","Northing","Loc_Acc","Townland","Town","County","SixInShtNo","SourceUse","YldClass","ProdClass","Yield_m3d","Abstr_m3d","Ovrflw_m3d","AbstrDDm","SC_m3dm","cas1dia_mm","Wtrstrk1_m","Wtrstrk2_m","Wtrstrk3_m","Wtrstrk4_m","Wtrloss1_m","GenComms","DrillComms","CasingComs"
"1","2331SEW053","TW1",NA,"Borehole",114.3,13.7,"Bedrock Met",2000-07-15,259820,315610,"to 10m","DROMORE WEST","Cootehill","Cavan",22,"Industrial use","Poor",NA,10.9,NA,NA,NA,NA,250,39.6,88,NA,NA,NA,"Drilled by Tom Briody & Son",NA,"Yield estimated"
"2","2331SEW054","TW2",NA,"Borehole",76.2,10.7,"Bedrock Met",2000-07-15,259890,315470,"to 10m","DROMORE WEST","Cootehill","Cavan",22,"Industrial use",NA,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,"Drilled by Tom Briody & Son",NA,"No water"
"3","2331SEW055","TW£",NA,"Borehole",72,10.7,"Bedrock Met",2000-09-20,259700,315230,"to 10m","DROMORE WEST","Cootehill","Cavan",22,"Industrial use",NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,"Drilled by Tom Briody & Sons",NA,NA
"4","2327NEW098",NA,NA,"Borehole",36.6,18.3,"Bedrock Met",2000-06-13,250510,282560,"to 20m","ROEBUCK",NA,"Cavan",42,"Agri & domestic use","Moderate","IV",65.5,NA,NA,9,7.2,152,24.4,30.5,NA,NA,NA,"Drilled by Norbert Briody, Kells
Limestone",NA,"3 hr test"
"5","2331SWW118",NA,"Cavan County Council","Borehole",91.4,NA,"DTB Unknown",1971-04-15,234790,312940,"to 20m","MULLAGHMEEN",NA,"Cavan",15,NA,"Excellent",NA,2945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Water not potable - xs sulphate, hardness, some bacteria"
"6","2327NWW210","ILC 1545","Land Commission, Finegan Estate","Borehole",30,7.5,"Bedrock Met",1970-06-10,243310,289010,"to 20m","OMARD",NA,"Cavan",37,"Agri & domestic use","Moderate","IV",82.4,NA,NA,NA,10.8,152,NA,NA,NA,NA,NA,"Dtb Inferred from lining",NA,"72 hour test"
"7","2327NWW211","Co.Co.","Ballymchugh Source","Borehole",NA,NA,NA,1905-06-22,238730,282770,"to 20m","BRACKLAGH",NA,"Cavan",NA,"Public supply (Co Co)","Excellent",NA,NA,500,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Capable of yielding 2182 + 1637m3/d if necessary"
"8","2031SEW006",NA,"Bawnboy public supply original well  (1996)","Borehole",23,7.5,"Bedrock Met",NA,221480,319140,"to 50m","BAWNBOY",NA,"Cavan",9,"Public supply (Co Co)","Excellent",NA,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"in grounds of disused workhouse","test date 30 mar 1995   replaces 1959 well at same location"
"9","2031SEW007","NERDO 9/11a",NA,"Borehole",11,3,"Bedrock Met",1963-05-15,221820,318400,"to 50m","MUINAGHAN",NA,"Cavan",9,"Agri & domestic use","Good","II",109,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2031SEW008","NERDO 9/12b",NA,"Borehole",18.3,8.5,"Bedrock Met",1966-01-11,222450,318510,"to 50m","KILLYCRIN","BAWNBOY","Cavan",9,NA,"Moderate",NA,98.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2031SEW011","NERDO 9/14a",NA,"Borehole",30.5,18.9,"Bedrock Met",1973-04-03,218320,317130,"to 50m","DRUMLOUGHER","BAWNBOY","Cavan",9,"Agri & domestic use","Good",NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WTB/CAV 3060",NA,"test date 3 apr 1973"
"12","2331SEW153",NA,"Annageliffe Creamery","Borehole",61,21.3,"Bedrock Met",1964-11-15,245300,311500,"to 50m","DRUMARAW","BALLYHAISE","Cavan",16,"Industrial use","Excellent",NA,545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Drilled by Barham Bros, Belturbet
GRAVEL, maybe to 26m","The One Tree Cross","Barham Bros  info june 1965"
"13","2331SWW002","NERDO 16b","Co Co","Borehole",30.5,6.7,"Bedrock Met",NA,242970,317010,"to 50m","KILLYFANA",NA,"Cavan",15,"Agri & domestic use","Poor",NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2331SWW004","WTB / CAV 3728",NA,"Borehole",18.3,6,"Bedrock Presumed",NA,231770,316250,"to 50m","CLOWNEY",NA,"Cavan",14,"Agri & domestic use","Good",NA,109.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"test date 28 mar 1974"
"15","2331SWW008",NA,NA,"Borehole",36.6,12.2,"Bedrock Presumed",NA,239400,311930,"to 50m","HACKELTY","BUTLERSBRIDGE","Cavan",15,"Agri & domestic use","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barham Bros info 1966"
"16","2331SWW010","NERDO 9a","Co Co","Borehole",30.5,14,"Bedrock Met",NA,236850,313190,"to 50m","DRUMMANY","PLEYDELL","Cavan",15,"Unknown","Failure",NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2331SWW009","15c","Butlersbridge Creamery","Borehole",152.4,3.1,"Bedrock Met",NA,240840,310840,"to 50m","BUTLERSBRIDGE","BUTLERSBRIDGE","Cavan",15,"Industrial use","Failure",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Barham Bros june 1965"
"18","2331SWW011",NA,"Co Co","Borehole",22.2,1.2,"Bedrock Met",NA,243850,313660,"to 50m","DRUMLIFF",NA,"Cavan",15,"Unknown","Failure",NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
